Deal ID,Buyer-Safe Product,Quantity,Proof Status,Availability Status,Outreach Readiness
DEAL-20260712-YAHOO-068,"MIDWEST *** BRAND NEW COFFEE CUPS , less then 1 penny per cup","324,000 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-069,"SOUTHEAST *** READY NOW, AOSOM TRUCKLOAD , LOVED, REORDERED CONSISTANTLY",NEEDS CADEN REVIEW,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-WA-001,WhatsApp deal candidate,3000 Units,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-WA-003,WhatsApp deal candidate,480 units,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-WA-002,FIFA apparel lot candidate,3000 pcs,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-WA-004,WhatsApp deal candidate,"6,000 units",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-001,Triple Your Charge: Travel-Ready Wireless Station,"3,500 pcs",PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-002,Fwd: Robitussin Capsules,125 cases,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-004,Peanut Butter,120 cases,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-007,Fwd: Upgrow 5-in-1 USB C Hub Adapter. 500 Units.,500 Units,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-008,"F24 "" Height 2 Panels Foldable Wood Dog Fence. 3300 Units.",3300 Units,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-009,LED Socket Ceiling Fan Light. 12120 Units. Los Angeles,12120 Units,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
DEAL-20260712-YAHOO-010,6-in-1 Convertible Baby High Chair.,300 Units,PROOF_MISSING,LIVE_AVAILABILITY_TIMESTAMP_NEEDED,NEEDS CADEN REVIEW
